Direct_Solar_Rad,T_ext,Occupants,Q_cooling,sinhour,coshour,sinday,cosday,sinmonth,cosmonth,T_int
1037.6663,36.90833,30.81475,24.73536719,1,1,0.97493,1,0,0,29.89854
1037.6663,36.90833,296.33365,109.74094531,1,1,0.97493,1,0,0,27.65767
1037.6663,36.90833,258.90265,72.14350781,1,1,0.97493,1,0,0,30.50947
1037.6663,36.90833,254.76593,245.52803125,1,1,0.97493,1,0,0,30.95352
